time_stamp,name,ballots_cast,total_voters,voter_turnout,ballots_completed_percentage,precincts_reported,precincts_participating,precincts_reported_percent,ballots_ready,ballots_remaining,earlies_remaining,prov_remaining
2022-11-08T20:02:18.943,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:02:18.943,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:02:18.943,Yuma,0,105133,0,0,0,46,0,0,0,0,0
2022-11-08T20:03:48.987,State,223440,4143929,14.52,0,56,1734,12.79,0,0,0,0
2022-11-08T20:03:48.987,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:03:48.987,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:03:48.987,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:03:48.987,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:03:48.987,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T20:03:48.987,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:03:48.987,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:03:48.987,Maricopa,0,2435397,0,0,0,935,0,0,0,0,0
2022-11-08T20:03:48.987,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:03:48.987,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:03:48.987,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:03:48.987,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:03:48.987,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:03:48.987,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:03:48.987,Yuma,0,105133,0,0,0,46,0,0,0,0,0
2022-11-08T20:04:16.167,State,1066773,4143929,16.83,0,959,1734,19.23,0,0,0,0
2022-11-08T20:04:16.167,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:04:16.167,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:04:16.167,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:04:16.167,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:04:16.167,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T20:04:16.167,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:04:16.167,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:04:16.167,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:04:16.167,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:04:16.167,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:04:16.167,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:04:16.167,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:04:16.167,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:04:16.167,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:04:16.167,Yuma,0,105133,0,0,0,46,0,0,0,0,0
2022-11-08T20:12:07.35,State,1066773,4143929,16.83,0,959,1734,19.23,0,0,0,0
2022-11-08T20:12:07.35,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:12:07.35,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:12:07.35,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:12:07.35,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:12:07.35,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T20:12:07.35,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:12:07.35,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:12:07.35,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:12:07.35,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:12:07.35,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:12:07.35,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:12:07.35,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:12:07.35,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:12:07.35,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:12:07.35,Yuma,0,105133,0,0,0,46,0,0,0,0,0
2022-11-08T20:19:31.62,State,1095976,4143929,18.68,0,959,1734,19.23,0,0,0,0
2022-11-08T20:19:31.62,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:19:31.62,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:19:31.62,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:19:31.62,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:19:31.62,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T20:19:31.62,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:19:31.62,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:19:31.62,Maricopa,843333,2435397,34.63,0,903,935,96.58,0,0,0,0
2022-11-08T20:19:31.62,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:19:31.62,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:19:31.62,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:19:31.62,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:19:31.62,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:19:31.62,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:19:31.62,Yuma,29203,105133,27.78,0,0,46,0,0,0,0,0
2022-11-08T20:23:03.31,State,1105294,4143929,21.87,0,980,1734,25.59,0,0,0,0
2022-11-08T20:23:03.31,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:23:03.31,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:23:03.31,Coconino,28438,90829,31.31,0,0,76,0,0,0,0,0
2022-11-08T20:23:03.31,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:23:03.31,Graham,9318,19487,47.82,0,21,22,95.45,0,0,0,0
2022-11-08T20:23:03.31,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:23:03.31,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
